Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Afghanistan,2023-03-10 13:21:02,33.93911,67.709953,209484,7896,,,538.1272220154463,,,3.769261614252162,4,AFG,680,0
Albania,2023-03-10 13:21:02,41.1533,20.1683,334457,3598,,,11621.96817012996,,,1.075773567304616,8,ALB,228,2
Algeria,2023-03-10 13:21:02,28.0339,1.6596,271496,6881,,,619.132365905185,,,2.534475646050034,12,DZA,90,0
Andorra,2023-03-10 13:21:02,42.5063,1.5218,47890,165,,,61981.49226687375,,,0.3445395698475673,20,AND,30,0
Angola,2023-03-10 13:21:02,-11.2027,17.8739,105288,1933,,,320.35277020195906,,,1.835916723653218,24,AGO,104,2
Antarctica,2023-03-10 13:21:02,-71.9499,23.347,11,0,,,,,,0.0,10,ATA,0,0
Antigua and Barbuda,2023-03-10 13:21:02,17.0608,-61.7964,9106,146,,,9298.668409443671,,,1.6033384581594552,28,ATG,0,0
Argentina,2023-03-10 13:21:02,-38.4161,-63.6167,10044957,130472,,,22225.43269916568,,,1.2988806223859397,32,ARG,4628,35
Armenia,2023-03-10 13:21:02,40.0691,45.0382,447308,8727,,,15095.264160710898,,,1.9510046768669465,51,ARM,976,8
Australia,2023-03-10 13:21:02,-25.0,133.0,11401996,19578,,,44784.48685569743,,,0.1717067783570525,36,AUS,71560,511
Austria,2023-03-10 13:21:02,47.5162,14.5501,5961143,21970,,,66187.85530289572,,,0.3685534804315212,40,AUT,148431,197
Azerbaijan,2023-03-10 13:21:02,40.1431,47.5769,828825,10138,,,8174.481651613667,,,1.2231773896781588,31,AZE,651,41
Bahamas,2023-03-10 13:21:02,25.025885,-78.035889,37491,833,,,9533.678492961184,,,2.2218665813128484,44,BHS,0,0
Bahrain,2023-03-10 13:21:02,26.0275,50.55,710693,1553,,,41766.57853304834,,,0.2185191074064328,48,BHR,9858,9
Bangladesh,2023-03-10 13:21:02,23.685,90.3563,2037871,29445,,,1237.402777809909,,,1.4448902801011447,50,BGD,216,1
Barbados,2023-03-10 13:21:02,13.1939,-59.5432,106798,579,,,37163.80567280624,,,0.5421449839884642,52,BRB,364,6
Belarus,2023-03-10 13:21:02,53.7098,27.9534,994037,7118,,,10519.665910386577,,,0.7160699249625517,112,BLR,0,0
Belgium,2023-03-10 13:21:02,50.8333,4.469936,4739365,33814,,,41238.25846469928,,,0.7134711084712826,56,BEL,38416,198
Belize,2023-03-10 13:21:02,17.1899,-88.4976,70757,688,,,17795.086275624275,,,0.9723419590994532,84,BLZ,60,0
Benin,2023-03-10 13:21:02,9.3077,2.3158,27999,163,,,230.95391166588223,,,0.5821636487017393,204,BEN,9,0
Bhutan,2023-03-10 13:21:02,27.5142,90.4336,62627,21,,,8116.384918845223,,,0.0335318632538681,64,BTN,19,0
Bolivia,2023-03-10 13:21:02,-16.2902,-63.5887,1194277,22365,,,10231.080553299404,,,1.8726811284149325,68,BOL,3766,11
Bosnia and Herzegovina,2023-03-10 13:21:02,43.9159,17.6791,401729,16280,,,12244.79283348802,,,4.052483141620346,70,BIH,264,19
Botswana,2023-03-10 13:21:02,-22.3285,24.6849,329758,2801,,,14022.558868867272,,,0.8494107800265649,72,BWA,264,0
Brazil,2023-03-10 13:21:02,-14.235,-51.9253,37085675,699310,,,17447.20460715997,,,1.88566070322301,76,BRA,170852,1613
Brunei,2023-03-10 13:21:02,4.5353,114.7277,279661,225,,,63924.99822850259,,,0.0804545503305788,96,BRN,2836,0
Bulgaria,2023-03-10 13:21:02,42.7339,25.4858,1297523,38228,,,18673.573727646977,,,2.946229084185791,100,BGR,1734,35
Burkina Faso,2023-03-10 13:21:02,12.2383,-1.5616,22056,396,,,105.51455135409864,,,1.7954298150163222,854,BFA,31,0
Burma,2023-03-10 13:21:02,21.9162,95.956,633950,19490,,,1165.1394967604544,,,3.0743749507058915,104,MMR,91,0
Burundi,2023-03-10 13:21:02,-3.3731,29.9189,53631,38,,,451.030087931146,,,0.0708545430814267,108,BDI,57,0
Cabo Verde,2023-03-10 13:21:02,16.5388,-23.0418,63244,413,,,11375.065648898895,,,0.6530263740433875,132,CPV,9,0
Cambodia,2023-03-10 13:21:02,11.55,104.9167,138719,3056,,,829.7101538126958,,,2.203014727614818,116,KHM,19,0
Cameroon,2023-03-10 13:21:02,3.848,11.5021,124392,1965,,,468.5927721169671,,,1.5796835809376808,120,CMR,399,0
Canada,2023-03-10 13:21:02,60.001,-95.001,4617095,51720,,,12072.06495364182,,,1.120184878153904,124,CAN,38789,816
Central African Republic,2023-03-10 13:21:02,6.6111,20.9394,15368,113,,,318.1936011780286,,,0.7352941176470589,140,CAF,0,0
Chad,2023-03-10 13:21:02,15.4542,18.7322,7679,194,,,46.74945766915448,,,2.526370621174632,148,TCD,27,0
Chile,2023-03-10 13:21:02,-35.6751,-71.543,5192286,64273,,,27161.69299048781,,,1.237855541855745,152,CHL,58345,332
China,2023-03-10 13:21:02,30.5928,114.3055,4903524,101056,,,347.3295011917179,,,2.060885191955826,156,CHN,8,58
Colombia,2023-03-10 13:21:02,4.5709,-74.2973,6359093,142339,,,12497.508985536277,,,2.2383538029715875,170,COL,3456,63
Comoros,2023-03-10 13:21:02,-11.6455,43.3333,9008,161,,,1035.8845209551573,,,1.7873001776198931,174,COM,16,0
Congo (Brazzaville),2023-03-10 13:21:02,-0.228,15.8277,25087,388,,,454.6317821449878,,,1.5466177701598438,178,COG,14,0
Congo (Kinshasa),2023-03-10 13:21:02,-4.0383,21.7587,95749,1464,,,106.90877512371289,,,1.5289976918818995,180,COD,164,1
Costa Rica,2023-03-10 13:21:02,9.7489,-83.7534,1209725,9245,,,23747.50545433416,,,0.7642232738845606,188,CRI,19348,64
Cote d'Ivoire,2023-03-10 13:21:02,7.54,-5.5471,88263,834,,,334.6048974013653,,,0.9449033003636856,384,CIV,226,1
Croatia,2023-03-10 13:21:02,45.1,15.2,1269326,17987,,,30919.44301809285,,,1.4170512539725808,191,HRV,1259,76
Cuba,2023-03-10 13:21:02,21.521757,-77.781167,1112643,8530,,,9823.260539599823,,,0.7666430292555654,192,CUB,141,0
Cyprus,2023-03-10 13:21:02,35.1264,33.4299,650685,1330,,,53893.16037208424,,,0.2043999784842128,196,CYP,6525,39
Czechia,2023-03-10 13:21:02,49.8175,15.473,4619204,42497,,,43133.92253343968,,,0.920006996876518,203,CZE,24333,153
Denmark,2023-03-10 13:21:02,56.2639,9.5018,3451036,8345,,,59121.29641320267,,,0.2418114444474065,208,DNK,3316,107
Diamond Princess,2023-03-10 13:21:02,,,712,13,,,,,,1.8258426966292132,9999,,0,0
Djibouti,2023-03-10 13:21:02,11.8251,42.5903,15690,189,,,1588.0534654788148,,,1.2045889101338432,262,DJI,0,0
Dominica,2023-03-10 13:21:02,15.415,-61.371,15760,74,,,21891.625342056646,,,0.4695431472081218,212,DMA,0,0
Dominican Republic,2023-03-10 13:21:02,18.7357,-70.1627,660790,4384,,,6091.407151095733,,,0.6634482967357255,214,DOM,451,0
Ecuador,2023-03-10 13:21:02,-1.8312,-78.1834,1057121,36014,,,5991.710054831759,,,3.406800167625087,218,ECU,5114,49
Egypt,2023-03-10 13:21:02,26.820553,30.802498,515759,24812,,,503.9937546711442,,,4.810774024302048,818,EGY,93,5
El Salvador,2023-03-10 13:21:02,13.7942,-88.8965,201785,4230,,,3110.9890057369485,,,2.096290606338429,222,SLV,0,0
Equatorial Guinea,2023-03-10 13:21:02,1.6508,10.2679,17229,183,,,1228.0245334055603,,,1.062162632770329,226,GNQ,17,0
Eritrea,2023-03-10 13:21:02,15.1794,39.7823,10189,103,,,287.3032491575324,,,1.0108941014819903,232,ERI,0,0
Estonia,2023-03-10 13:21:02,58.5953,25.0136,615433,2946,,,46393.88664788596,,,0.4786873632060679,233,EST,1218,27
Eswatini,2023-03-10 13:21:02,-26.5225,31.4659,74267,1425,,,6401.422557500491,,,1.9187526088303013,748,SWZ,124,2
Ethiopia,2023-03-10 13:21:02,9.145,40.4897,500116,7572,,,435.0212362466121,,,1.5140487406921594,231,ETH,378,0
Fiji,2023-03-10 13:21:02,-17.7134,178.065,68898,883,,,7685.700389539113,,,1.2816046909924816,242,FJI,34,0
Finland,2023-03-10 13:21:02,61.9241,25.7482,1463644,8967,,,26416.14317855556,,,0.6126489774835957,246,FIN,2787,146
France,2023-03-10 13:21:02,46.2276,2.2137,39866718,166176,,,61098.56540191216,,,0.4168288947186472,250,FRA,106042,618
Gabon,2023-03-10 13:21:02,-0.8037,11.6094,48981,306,,,2200.6732179313917,,,0.6247320389538801,266,GAB,0,0
Gambia,2023-03-10 13:21:02,13.4432,-15.3101,12598,372,,,521.2971269485539,,,2.9528496586759805,270,GMB,12,0
Georgia,2023-03-10 13:21:02,42.3154,43.3569,1827537,16971,,,45812.4048205456,,,0.9286268896334248,268,GEO,8676,30
Germany,2023-03-10 13:21:02,51.165691,10.451526,38249060,168935,,,45997.28908765604,,,0.4416709848555755,276,DEU,355168,2275
Ghana,2023-03-10 13:21:02,7.9465,-1.0232,171229,1462,,,551.0549450655546,,,0.8538273306507659,288,GHA,89,0
Greece,2023-03-10 13:21:02,39.0742,21.8243,5548487,34779,,,53232.82346367514,,,0.6268195275576928,300,GRC,0,0
Grenada,2023-03-10 13:21:02,12.1165,-61.679,19680,238,,,17490.379402589784,,,1.2093495934959348,308,GRD,0,0
Guatemala,2023-03-10 13:21:02,15.7835,-90.2308,1238247,20182,,,6911.570256191166,,,1.6298848291172925,320,GTM,7313,43
Guinea,2023-03-10 13:21:02,9.9456,-9.6966,38267,467,,,291.3851068379062,,,1.2203726448375884,324,GIN,27,0
Guinea-Bissau,2023-03-10 13:21:02,11.8037,-15.1804,8960,176,,,455.2850155335524,,,1.9642857142857144,624,GNB,13,0
Guyana,2023-03-10 13:21:02,4.860416,-58.93018,73075,1298,,,9290.466449433545,,,1.776257269928156,328,GUY,72,2
Haiti,2023-03-10 13:21:02,18.9712,-72.2852,34202,860,,,299.950896875282,,,2.51447283784574,332,HTI,126,0
Holy See,2023-03-10 13:21:02,41.9029,12.4534,29,0,,,3584.672435105068,,,0.0,336,VAT,0,0
Honduras,2023-03-10 13:21:02,15.2,-86.2419,472250,11111,,,4767.982740962591,,,2.352779248279513,340,HND,1026,4
Hungary,2023-03-10 13:21:02,47.1625,19.5033,2196804,48762,,,22740.418307825286,,,2.2196791338690205,348,HUN,3532,55
Iceland,2023-03-10 13:21:02,64.9631,-19.0208,209137,263,,,61285.567765567765,,,0.1257548879442662,352,ISL,298,52
India,2023-03-10 13:21:02,20.593684,78.96288,44690738,530779,,,3238.448985073333,,,1.1876711456409603,356,IND,5651,29
Indonesia,2023-03-10 13:21:02,-0.7893,113.9213,6738225,160941,,,2463.489250166076,,,2.388477677726701,360,IDN,6046,86
Iran,2023-03-10 13:21:02,32.427908,53.688046,7572311,144933,,,9015.412281075533,,,1.9139863642684511,364,IRN,7058,158
Iraq,2023-03-10 13:21:02,33.223191,43.679291,2465545,25375,,,6129.765221224547,,,1.029184216876999,368,IRQ,0,0
Ireland,2023-03-10 13:21:02,53.1424,-7.6921,1704502,8708,,,34519.49007208884,,,0.5108823574275654,372,IRL,2885,106
Israel,2023-03-10 13:21:02,31.046051,34.851612,4804188,12329,,,55504.19089921704,,,0.2566302567676369,376,ISR,13580,101
Italy,2023-03-10 13:21:02,41.8719,12.5674,25603510,188322,,,42346.569475206736,,,0.7355319641720999,380,ITA,115344,1050
Jamaica,2023-03-10 13:21:02,18.1096,-77.2975,154416,3514,,,5214.711391916887,,,2.275670914931095,388,JAM,511,26
Japan,2023-03-10 13:21:02,36.204824,138.252924,33329551,73046,,,26352.375396218005,,,0.2191628684106785,392,JPN,418671,2804
Jordan,2023-03-10 13:21:02,31.24,36.51,1746997,14122,,,17122.150632060326,,,0.808358571880776,400,JOR,0,0
Kazakhstan,2023-03-10 13:21:02,48.0196,66.9237,1498668,19071,,,7981.527325318545,,,1.2725300066459015,398,KAZ,2119,5
Kenya,2023-03-10 13:21:02,-0.0236,37.9062,342937,5688,,,637.7695908412109,,,1.6586136812300802,404,KEN,120,0
Kiribati,2023-03-10 13:21:02,-3.3704,-168.734,5014,18,,,4263.387922384913,,,0.3589948145193458,296,KIR,6,0
"Korea, North",2023-03-10 13:21:02,40.3399,127.5101,1,6,,,0.0038791542590301,,,600.0,408,PRK,0,0
"Korea, South",2023-03-10 13:21:02,35.907757,127.766922,30615522,34093,,,59715.252337842016,,,0.1113585455116525,410,KOR,290039,396
Kosovo,2023-03-10 13:21:02,42.602636,20.902977,273348,3211,,,15099.046270201716,,,1.1746930652501573,383,XKS,637,7
Kuwait,2023-03-10 13:21:02,29.31166,47.481766,663860,2570,,,15545.022986430597,,,0.3871298165275811,414,KWT,1002,0
Kyrgyzstan,2023-03-10 13:21:02,41.20438,74.766098,206708,2991,,,3168.3315218699145,,,1.4469686707819729,417,KGZ,109,0
Laos,2023-03-10 13:21:02,19.85627,102.495496,218023,758,,,2996.650702709181,,,0.3476697412658298,418,LAO,25,0
Latvia,2023-03-10 13:21:02,56.8796,24.6032,976267,6269,,,51758.348257503705,,,0.642139906398557,428,LVA,699,26
Lebanon,2023-03-10 13:21:02,33.8547,35.8623,1232828,10841,,,18062.24417407693,,,0.8793603000580779,422,LBN,2913,40
Lesotho,2023-03-10 13:21:02,-29.61,28.2336,34790,723,,,1623.9919486596348,,,2.0781833860304686,426,LSO,0,0
Liberia,2023-03-10 13:21:02,6.428055,-9.429499,8090,295,,,159.95485674549798,,,3.646477132262052,430,LBR,25,1
Libya,2023-03-10 13:21:02,26.3351,17.228331,507187,6437,,,7381.251867372153,,,1.2691571353366706,434,LBY,21,0
Liechtenstein,2023-03-10 13:21:02,47.14,9.55,21432,89,,,56197.39360725804,,,0.4152668906308324,438,LIE,60,0
Lithuania,2023-03-10 13:21:02,55.1694,23.8813,1308131,9598,,,48052.57777364727,,,0.7337185648837922,440,LTU,8175,42
Luxembourg,2023-03-10 13:21:02,49.8153,6.1296,317367,1220,,,50699.54758648894,,,0.3844129982008211,442,LUX,2099,8
MS Zaandam,2023-03-10 13:21:02,,,9,2,,,,,,22.22222222222222,8888,,0,0
Madagascar,2023-03-10 13:21:02,-18.766947,46.869107,67889,1423,,,245.1661313005491,,,2.0960685825391447,450,MDG,47,3
Malawi,2023-03-10 13:21:02,-13.2543,34.3015,88707,2686,,,463.70731138677536,,,3.027945934368201,454,MWI,148,0
Malaysia,2023-03-10 13:21:02,4.210483999999999,101.975766,5044718,36967,,,15586.474422942249,,,0.7327862528688422,458,MYS,5906,21
Maldives,2023-03-10 13:21:02,3.2028,73.2207,185738,311,,,34361.437224119494,,,0.1674401576414088,462,MDV,17,0
Mali,2023-03-10 13:21:02,17.570692,-3.996166,33062,743,,,163.26241180980497,,,2.247292964732926,466,MLI,244,0
Malta,2023-03-10 13:21:02,35.9375,14.3754,117610,828,,,26636.37866643717,,,0.7040217668565598,470,MLT,444,2
Marshall Islands,2023-03-10 13:21:02,7.1315,171.1845,15649,17,,,26790.26928937052,,,0.1086331394977314,584,MHL,65,0
Mauritania,2023-03-10 13:21:02,21.0079,-10.9408,63668,997,,,1369.304422258832,,,1.565935791920588,478,MRT,1,0
Mauritius,2023-03-10 13:21:02,-20.348404,57.552152,296042,1044,,,23278.00611275493,,,0.3526526641490058,480,MUS,1127,0
Mexico,2023-03-10 13:21:02,23.6345,-102.5528,7483444,333188,,,5855.943448730543,,,4.45233504787368,484,MEX,82596,608
Micronesia,2023-03-10 13:21:02,7.4256,150.5508,23948,61,,,21041.163291306068,,,0.2547185568732253,583,FSM,1272,3
Moldova,2023-03-10 13:21:02,47.4116,28.3699,611140,12003,,,15173.461711303502,,,1.964034427463429,498,MDA,11562,46
Monaco,2023-03-10 13:21:02,43.7333,7.4167,16121,67,,,41078.89104066864,,,0.4156069722721915,492,MCO,26,0
Mongolia,2023-03-10 13:21:02,46.8625,103.8467,1007900,2136,,,30744.668260179387,,,0.2119257862883222,496,MNG,14,0
Montenegro,2023-03-10 13:21:02,42.708678,19.37439,288808,2808,,,45983.99521066392,,,0.9722722362261432,499,MNE,2079,10
Morocco,2023-03-10 13:21:02,31.7917,-7.0926,1272490,16296,,,3447.4959712069376,,,1.280638747652241,504,MAR,167,0
Mozambique,2023-03-10 13:21:02,-18.665695,35.529562,233214,2242,,,746.1550287174055,,,0.9613488041026697,508,MOZ,395,5
Namibia,2023-03-10 13:21:02,-22.9576,18.4904,171156,4090,,,6735.995995145058,,,2.38963284956414,516,NAM,415,2
Nauru,2023-03-10 13:21:02,-0.5228,166.9315,5393,1,,,49778.47517075872,,,0.0185425551641016,520,NRU,432,0
Nepal,2023-03-10 13:21:02,28.1667,84.25,1001154,12020,,,3436.045568203628,,,1.2006144908775274,524,NPL,44,0
Netherlands,2023-03-10 13:21:02,52.3167,5.55,8712835,23707,,,50848.55312321253,,,0.2720928377502845,528,NLD,15124,0
New Zealand,2023-03-10 13:21:02,-40.9006,174.886,2236114,2550,,,46370.92400968597,,,0.1140371197532862,554,NZL,37132,46
Nicaragua,2023-03-10 13:21:02,12.865416,-85.207229,15655,245,,,236.31779588482485,,,1.5649952091983392,558,NIC,43,0
Niger,2023-03-10 13:21:02,17.607789,8.081666,9508,315,,,39.27848545332776,,,3.312999579301641,562,NER,0,0
Nigeria,2023-03-10 13:21:02,9.082,8.6753,266598,3155,,,129.32887073262643,,,1.1834297331562875,566,NGA,135,0
North Macedonia,2023-03-10 13:21:02,41.6086,21.7453,346852,9662,,,16648.523073083164,,,2.7856261460219343,807,MKD,319,21
Norway,2023-03-10 13:21:02,60.472,8.4689,1479506,5213,,,27290.904925476487,,,0.3523473375572657,578,NOR,1259,76
Oman,2023-03-10 13:21:02,21.512583,55.923255,399449,4628,,,7822.176773608855,,,1.158595965943087,512,OMN,0,0
Pakistan,2023-03-10 13:21:02,30.3753,69.3451,1577411,30644,,,714.1085400561054,,,1.9426769561008512,586,PAK,947,4
Palau,2023-03-10 13:21:02,7.515,134.5825,5991,9,,,33268.54731230564,,,0.1502253380070105,585,PLW,4,0
Panama,2023-03-10 13:21:02,8.538,-80.7821,1031731,8609,,,23911.621667723502,,,0.8344229261309392,591,PAN,1517,10
Papua New Guinea,2023-03-10 13:21:02,-6.314993,143.95555,46825,670,,,523.3582060275442,,,1.430859583555793,598,PNG,49,0
Paraguay,2023-03-10 13:21:02,-23.4425,-58.4438,808401,19878,,,11334.000698209473,,,2.458928180445101,600,PRY,1739,48
Peru,2023-03-10 13:21:02,-9.19,-75.0152,4487553,219539,,,13610.2570659829,,,4.892176203824223,604,PER,4317,310
Philippines,2023-03-10 13:21:02,12.879721,121.774017,4077625,66193,,,3721.1029622493697,,,1.623322399681187,608,PHL,3153,284
Poland,2023-03-10 13:21:02,51.9194,19.1451,6448577,119016,,,17038.719853471666,,,1.8456164825200967,616,POL,57912,243
Portugal,2023-03-10 13:21:02,39.3999,-8.2245,5570473,26266,,,54630.11735063094,,,0.4715218976916323,620,PRT,5548,214
Qatar,2023-03-10 13:21:02,25.3548,51.1839,495090,688,,,17184.300222834652,,,0.1389646326930457,634,QAT,2165,2
Romania,2023-03-10 13:21:02,45.9432,24.9668,3346046,67736,,,17393.18697543706,,,2.024359497747491,642,ROU,18241,117
Russia,2023-03-10 13:21:02,61.524,105.3188,22086064,388521,,,15134.234916139752,,,1.7591228568385928,643,RUS,350549,989
Rwanda,2023-03-10 13:21:02,-1.9403,29.8739,133194,1468,,,1028.3496815099263,,,1.1021517485772632,646,RWA,104,0
Saint Kitts and Nevis,2023-03-10 13:21:02,17.357822,-62.782998,6597,47,,,12402.24093848699,,,0.7124450507806579,659,KNA,5,1
Saint Lucia,2023-03-10 13:21:02,13.9094,-60.9789,30004,409,,,16339.467077640242,,,1.3631515797893614,662,LCA,122,0
Saint Vincent and the Grenadines,2023-03-10 13:21:02,12.9843,-61.2872,9589,123,,,8642.86551236176,,,1.2827197830847847,670,VCT,2,0
Samoa,2023-03-10 13:21:02,-13.759,-172.1046,16607,29,,,8467.343088767655,,,0.1746251580658758,882,WSM,498,0
San Marino,2023-03-10 13:21:02,43.9424,12.4578,23616,122,,,69585.7151275856,,,0.5165989159891599,674,SMR,148,0
Sao Tome and Principe,2023-03-10 13:21:02,0.1864,6.6131,6281,77,,,2865.9296133892435,,,1.2259194395796849,678,STP,1,0
Saudi Arabia,2023-03-10 13:21:02,23.885942,45.079162,830127,9618,,,2384.4722564143767,,,1.158617898225211,682,SAU,1717,31
Senegal,2023-03-10 13:21:02,14.4974,-14.4524,88926,1971,,,531.0939546450564,,,2.216449632278524,686,SEN,24,0
Serbia,2023-03-10 13:21:02,44.0165,21.0059,2500142,17881,,,28614.35420498388,,,0.7151993766754048,688,SRB,22172,150
Seychelles,2023-03-10 13:21:02,-4.6796,55.492,50665,172,,,51520.23591620907,,,0.3394848514753775,690,SYC,0,0
Sierra Leone,2023-03-10 13:21:02,8.460555,-11.779889,7760,126,,,97.27986200299988,,,1.6237113402061856,694,SLE,0,0
Singapore,2023-03-10 13:21:02,1.2833,103.8333,2235294,1722,,,38207.91362147484,,,0.077036846159834,702,SGP,14295,0
Slovakia,2023-03-10 13:21:02,48.669,19.699,2667782,21036,,,49087.826549042526,,,0.7885202014257536,703,SVK,5607,62
Slovenia,2023-03-10 13:21:02,46.1512,14.9955,1332121,7078,,,64077.1800135839,,,0.5313331146344814,705,SVN,8491,15
Solomon Islands,2023-03-10 13:21:02,-9.6457,160.1562,24575,153,,,3764.218252667502,,,0.6225839267548321,90,SLB,0,0
Somalia,2023-03-10 13:21:02,5.152149,46.199616,27324,1361,,,171.9223777134135,,,4.980969111403894,706,SOM,2,0
South Africa,2023-03-10 13:21:02,-30.5595,22.9375,4067067,102595,,,6857.455458888066,,,2.522579539505988,710,ZAF,9856,0
South Sudan,2023-03-10 13:21:02,6.877,31.307,18368,138,,,164.09187679994756,,,0.7513066202090593,728,SSD,0,0
Spain,2023-03-10 13:21:02,40.463667,-3.74922,13770429,119479,,,29452.44981673853,,,0.8676490761471556,724,ESP,29898,767
Sri Lanka,2023-03-10 13:21:02,7.873054,80.771797,672039,16830,,,3138.425974571818,,,2.504318945775468,144,LKA,34,2
Sudan,2023-03-10 13:21:02,12.8628,30.2176,63829,5017,,,145.56457030104653,,,7.860063607451159,729,SDN,70,9
Summer Olympics 2020,2023-03-10 13:21:02,35.6491,139.7737,865,0,,,,,,0.0,2020,,0,0
Suriname,2023-03-10 13:21:02,3.9193,-56.0278,82467,1404,,,14057.657755943228,,,1.7024991814907782,740,SUR,240,4
Sweden,2023-03-10 13:21:02,60.1282,18.6435,2699339,23777,,,26728.06054298974,,,0.880845273602167,752,SWE,3171,214
Switzerland,2023-03-10 13:21:02,46.8182,8.2275,4413911,14210,,,51000.6449735852,,,0.3219367132685729,756,CHE,5078,
Syria,2023-03-10 13:21:02,34.802075,38.996815,57467,3164,,,328.3705291749904,,,5.505768528024779,760,SYR,14,0
Taiwan*,2023-03-10 13:21:02,23.7,121.0,9970937,17672,,,41865.18535779928,,,0.1772350983663822,158,TWN,216931,778
Tajikistan,2023-03-10 13:21:02,38.861,71.2761,17786,125,,,186.4821514584003,,,0.7027999550208028,762,TJK,0,0
Tanzania,2023-03-10 13:21:02,-6.369028,34.888822,42906,846,,,71.82818328919811,,,1.9717522024891625,834,TZA,189,0
Thailand,2023-03-10 13:21:02,15.870032,100.992541,4728182,33918,,,6773.901848507746,,,0.7173581727606932,764,THA,946,36
Timor-Leste,2023-03-10 13:21:02,-8.874217,125.727539,23419,138,,,1776.2631954989297,,,0.5892651266066015,626,TLS,3,0
Togo,2023-03-10 13:21:02,8.6195,0.8248,39396,290,,,475.8696888184756,,,0.7361153416590517,768,TGO,38,0
Tonga,2023-03-10 13:21:02,-21.179,-175.1982,16810,13,,,15903.951862399124,,,0.0773349196906603,776,TON,15,0
Trinidad and Tobago,2023-03-10 13:21:02,10.6918,-61.2225,189918,4355,,,13570.505276561264,,,2.2930949146473742,780,TTO,2010,29
Tunisia,2023-03-10 13:21:02,33.886917,9.537499,1151126,29341,,,9739.937444462626,,,2.548895603087759,788,TUN,649,29
Turkey,2023-01-30 23:20:55,38.9637,35.2433,17042722,101492,,,20207.38740209208,,,0.5955151999780317,792,TUR,0,0
Tuvalu,2023-03-10 13:21:02,-7.1095,177.6493,2805,0,,,23787.31343283582,,,0.0,798,TUV,0,0
US,2023-03-10 13:21:02,40.0,-100.0,103804263,1123836,,,31506.793974423173,,,1.08264917790515,840,USA,959794,9451
Uganda,2023-03-10 13:21:02,1.373333,32.290275,170544,3630,,,372.84711746573095,,,2.128482972136223,800,UGA,144,0
Ukraine,2023-03-10 13:21:02,48.3794,31.1656,5712034,119284,,,13060.92622863724,,,2.088292891814019,804,UKR,25293,194
United Arab Emirates,2023-03-10 13:21:02,23.424076,53.847818,1053213,2349,,,10648.84130065518,,,0.2230318083806409,784,ARE,3086,1
United Kingdom,2023-03-10 13:21:02,55.0,-3.0,24658705,220721,,,36323.694940123445,,,0.8951037777531302,826,GBR,109608,70
Uruguay,2023-03-10 13:21:02,-32.5228,-55.7658,1034303,7617,,,29775.022619797124,,,0.7364379683709706,858,URY,1038,3
Uzbekistan,2023-03-10 13:21:02,41.377491,64.585262,251247,1637,,,750.6812457627086,,,0.6515500682595216,860,UZB,530,0
Vanuatu,2023-03-10 13:21:02,-15.3767,166.9592,12014,14,,,4104.824381577149,,,0.1165307141668054,548,VUT,0,0
Venezuela,2023-03-10 13:21:02,6.4238,-66.5897,552168,5854,,,1941.7959868607136,,,1.06018458150418,862,VEN,489,3
Vietnam,2023-03-10 13:21:02,14.058324,108.277199,11526994,43186,,,11842.163348525424,,,0.3746510148265888,704,VNM,367,0
West Bank and Gaza,2023-03-10 13:21:02,31.9522,35.2332,703228,5708,,,13784.956960969268,,,0.8116855415313383,275,PSE,0,0
Winter Olympics 2022,2023-03-10 13:21:02,39.9042,116.4074,535,0,,,,,,0.0,2022,,0,0
Yemen,2023-03-10 13:21:02,15.552727,48.516388,11945,2159,,,40.04899354817252,,,18.07450816241105,887,YEM,0,0
Zambia,2023-03-10 13:21:02,-13.133897,27.849332,343135,4057,,,1866.491629984319,,,1.182333483905751,894,ZMB,1021,7
Zimbabwe,2023-03-10 13:21:02,-19.015438,29.154857,264276,5671,,,1778.0885285919792,,,2.1458626587355645,716,ZWE,1193,12
